Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Afsana Likh Rahi Hun, Meri Jan Pyar Ka, Ankhon Mein Surma Bhar Kay..",Ghalt Fehmi,1950,Inayat Ali Nath,Tufail Hoshiarpuri,Iqbal Bano,
"Airay Ghairay Nathu Khairay, Ban Than Kay Aye..",Miss 56,1956,Vinod (Indian),D.N. Madhok (Indian),Geeta Dutt (Indian singer),
Aisa Bhi Ik Zamana Aata Hay Aashqi Mein..,Neyi Larki,1958,Hassan Latif,Munir Niazi,Zubaida Khanum,
"Aish Kay Din Hayn 4, Mujh Say Pyar Karo..",Hasrat,1958,Safdar Hussain,Qateel Shafai,Zubaida Khanum,
"Ajab Nagar Kay Ajab Fasanay, Sab Ko Sunanay Aye Hayn..",Aaj Kal,1959,?,Tanvir Naqvi,Saleem Raza,
"Aji, Lay Lo Chhorian, In Ko Pehan Kar, Rani Ban Kay..",Masoom,1957,Master Inayat Hussain,Qateel Shafai,Munawar Sultana,
"Aji, Lay Lo Chhorian, In Ko Pehan Kar, Rani Ban Kay (sad)..",Masoom,1957,Master Inayat Hussain,Qateel Shafai,Munawar Sultana,
Ajjal Jo Aye To Apna Bhi Kaam Ho Jaye..,Sahara,1959,Mohammad Ali Munnu,Sardar Adeeb,Naheed Niazi,
"Akela Mujhay Chhor Kar Janay Walay, Kiya Main Nay Tujhay..",Hatim,1956,Safdar Hussain,Qateel Shafai,Zubaida Khanum,
"Akeli Kahin Matt Jana, Jamana Najuk Hay, Parhay Ga Pachhtana..",Neend,1959,Rasheed Attray,Tanvir Naqvi,Noorjahan,
"Akhian Mila Kay, Kisi Ka Dil Chura Kay, Chalay Na Jana Jee..",Eid,1951,?,?,Ali Bakhsh Zahoor,
"Al-Widaa, Al-Widaa, Pyaray Watan Al-Widaa..",Shahida,1949,Master Ghulam Haider,Hakeem Ahmad Shujaa,Munawar Sultana & Co.,
"Albelay Naina, Banti Kar Kar Haar Geyi Main..",Qismat,1956,Feroz Nizami,Tufail Hoshiarpuri,Roshan Ara Begum,
"Allah Allah Wahid, Khaliq Mabood Allah..",Soteli Maa,1956,G.A. Chishti,Sardar Adeeb,Munawar Sultana,
